"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NEPSE","2023-06-28","2193.51","2205.97","2146.06","2150.99","-1.62 %","5,972,286,481.45","-"
"NEPSE","2023-07-02","2154.8","2160.24","2094.07","2097.29","-2.50 %","5,081,976,179.39","-"
"NEPSE","2023-07-03","2096.72","2113.74","2069.6","2075.97","-1.02 %","4,051,078,375.44","-"
"NEPSE","2023-07-04","2079.42","2104.38","2067.22","2088.7","0.61 %","2,576,140,128.50","-"
"NEPSE","2023-07-05","2090.38","2101.59","2046.55","2049.44","-1.88 %","3,073,992,136.78","-"
"NEPSE","2023-07-06","2050.28","2064.57","2033.43","2049.38","0.00 %","3,077,498,315.30","-"
"NEPSE","2023-07-09","2050.36","2085.23","2049.69","2077.76","1.38 %","3,042,543,961.01","-"
"NEPSE","2023-07-10","2081.75","2102.09","2067.85","2076.96","-0.04 %","3,797,986,583.25","-"
"NEPSE","2023-07-11","2078.25","2084.92","2064.52","2072.24","-0.23 %","2,859,490,490.47","-"
"NEPSE","2023-07-12","2072.24","2099.71","2072.24","2097.55","1.22 %","3,187,695,774.34","-"
"NEPSE","2023-07-13","2095.72","2121.83","2080.42","2084.93","-0.60 %","3,390,660,605.31","-"
"NEPSE","2023-07-16","2085.68","2105.67","2079.18","2097.09","0.58 %","2,376,427,573.77","-"
"NEPSE","2023-07-17","2097.99","2144.6","2089.16","2144.16","2.24 %","2,560,191,288.71","-"
"NEPSE","2023-07-18","2147.69","2171.13","2146.52","2154.07","0.46 %","3,548,829,029.13","-"
"NEPSE","2023-07-19","2154.02","2174.63","2141.82","2165.24","0.52 %","3,348,679,900.45","-"
"NEPSE","2023-07-20","2165.7","2179.72","2152.82","2163.92","-0.06 %","3,052,410,659.63","-"
"NEPSE","2023-07-23","2166.47","2228.74","2166.44","2227.16","2.92 %","4,375,196,232.80","-"
"NEPSE","2023-07-24","2227.21","2244.13","2194.16","2200.5","-1.19 %","4,737,608,810.44","-"
"NEPSE","2023-07-25","2202.99","2206.46","2162.55","2164.31","-1.64 %","2,910,732,418.71","-"
"NEPSE","2023-07-26","2168.46","2186.49","2152.54","2156.2","-0.37 %","2,432,508,769.57","-"
"NEPSE","2023-07-27","2155.49","2165.97","2124.32","2126.48","-1.37 %","2,425,780,564.10","-"
"NEPSE","2023-07-30","2126.85","2138.67","2091.5","2100.34","-1.22 %","2,502,886,527.87","-"
"NEPSE","2023-07-31","2097.85","2126.57","2094.06","2106.18","0.27 %","1,858,002,175.73","-"
"NEPSE","2023-08-01","2106.06","2124.32","2070.33","2077.58","-1.35 %","1,924,434,899.90","-"
"NEPSE","2023-08-02","2078.6","2086.84","2062","2086.84","0.44 %","1,812,473,856.13","-"
"NEPSE","2023-08-03","2088.56","2109.29","2083.92","2089.84","0.14 %","1,781,941,701.81","-"
"NEPSE","2023-08-06","2095.43","2101.9","2041.69","2051.47","-1.83 %","2,687,148,234.55","-"
"NEPSE","2023-08-07","2051.57","2069.73","2030.19","2048.26","-0.15 %","2,333,573,297.98","-"
"NEPSE","2023-08-08","2047.72","2055.31","2013.37","2019.85","-1.38 %","1,737,014,499.56","-"
"NEPSE","2023-08-09","2018.72","2061.08","2000.23","2060.91","2.03 %","1,888,326,469.62","-"
"NEPSE","2023-08-10","2058.96","2080.81","2045.98","2066.05","0.24 %","2,156,583,945.68","-"
"NEPSE","2023-08-13","2065.4","2087.93","2057.7","2080.86","0.71 %","3,018,460,512.26","-"
"NEPSE","2023-08-14","2079.25","2094.04","2073.49","2077.24","-0.17 %","2,091,390,638.30","-"
"NEPSE","2023-08-15","2077.03","2078.76","2041.12","2045.44","-1.53 %","2,157,312,369.51","-"
"NEPSE","2023-08-16","2044.05","2044.05","2014","2025.12","-0.99 %","1,679,980,623.09","-"
"NEPSE","2023-08-17","2025.98","2043.01","2025.4","2033.13","0.39 %","1,541,367,398.79","-"
"NEPSE","2023-08-20","2033.2","2034.88","2008.03","2011.14","-1.08 %","1,447,408,942.67","-"
"NEPSE","2023-08-21","2012.46","2019.51","1991.81","1998.28","-0.64 %","1,408,981,601.68","-"
"NEPSE","2023-08-22","1998.14","2016.18","1990.29","2015.98","0.88 %","1,332,564,769.51","-"
"NEPSE","2023-08-23","2016.8","2048.26","2015.8","2045.45","1.46 %","1,510,488,984.60","-"
"NEPSE","2023-08-24","2045.86","2052.2","2009.09","2013.93","-1.54 %","1,550,582,685.37","-"
"NEPSE","2023-08-27","2014.21","2016.11","1989.22","1993.38","-1.02 %","1,262,767,876.55","-"
"NEPSE","2023-08-28","1994.03","2009.7","1989.37","1998.48","0.25 %","988,628,562.24","-"
"NEPSE","2023-08-29","1999.01","2002.81","1988.51","1993.42","-0.25 %","865,120,452.40","-"
"NEPSE","2023-08-30","1994.63","2001.72","1985.1","1990.59","-0.14 %","1,130,008,041.15","-"
"NEPSE","2023-09-03","1990.82","1991.11","1958.83","1960.78","-1.49 %","1,186,618,410.87","-"
"NEPSE","2023-09-04","1960.79","1977.96","1946.62","1967.83","0.35 %","1,099,139,697.16","-"
"NEPSE","2023-09-05","1966.8","1974.11","1954.19","1961.37","-0.32 %","796,870,408.05","-"
"NEPSE","2023-09-07","1960.72","1960.78","1929.66","1932.45","-1.47 %","1,150,920,607.60","-"
"NEPSE","2023-09-10","1933.25","1946.75","1933.06","1942.68","0.52 %","1,072,212,418.60","-"
"NEPSE","2023-09-11","1942.98","1986.99","1941.86","1986.99","2.28 %","1,518,343,397.24","-"
"NEPSE","2023-09-12","1987.17","1998.54","1962.71","1967.57","-0.97 %","1,135,057,515.51","-"
"NEPSE","2023-09-13","1967.26","2007.48","1967.25","2007.06","2.00 %","1,495,521,905.77","-"
"NEPSE","2023-09-17","2009.99","2010.86","1961.05","1964.91","-2.09 %","2,028,465,610.94","-"
"NEPSE","2023-09-18","1965.45","1974.98","1952.88","1969.18","0.21 %","870,444,156.82","-"
"NEPSE","2023-09-19","1970.42","1986.72","1960.62","1985.43","0.82 %","1,176,680,757.50","-"
"NEPSE","2023-09-21","1988.71","2040.28","1988.67","2029.78","2.23 %","3,293,921,368.32","-"
"NEPSE","2023-09-24","2029.42","2037.02","2003.83","2010.35","-0.95 %","2,326,895,206.99","-"
"NEPSE","2023-09-25","2012.21","2015.56","1999.62","2004.45","-0.29 %","1,565,573,471.78","-"
"NEPSE","2023-09-26","2006.64","2030.51","2005.42","2022.91","0.92 %","2,093,809,518.54","-"
"NEPSE","2023-09-27","2023.52","2027.19","1993.46","2004.3","-0.91 %","1,814,359,022.20","-"
"NEPSE","2023-10-01","2004.58","2005.32","1964.44","1971.1","-1.65 %","1,830,486,743.11","-"
"NEPSE","2023-10-02","1970.28","1982.51","1954.35","1976.29","0.26 %","1,737,314,092.32","-"
"NEPSE","2023-10-03","1977.83","1978.27","1954.13","1958.72","-0.88 %","1,199,101,324.81","-"
"NEPSE","2023-10-04","1958.87","1976.19","1957.23","1967.97","0.47 %","1,189,931,385.37","-"
"NEPSE","2023-10-05","1967.58","1970.15","1954.02","1956.92","-0.56 %","1,106,519,418.20","-"
"NEPSE","2023-10-08","1963.8","1964.02","1917.69","1921.24","-1.82 %","1,801,766,294.08","-"
"NEPSE","2023-10-09","1919.97","1926.72","1902.87","1908.66","-0.65 %","1,170,172,722.08","-"
"NEPSE","2023-10-10","1908.29","1913.58","1885.37","1889.59","-0.99 %","1,283,182,145.32","-"
"NEPSE","2023-10-11","1890.04","1905.05","1884.4","1894.76","0.27 %","1,088,547,980.13","-"
"NEPSE","2023-10-12","1896.18","1897.6","1870.19","1874.6","-1.20 %","1,700,129,815.00","-"
"NEPSE","2023-10-16","1874.13","1876.62","1846.79","1851.43","-1.23 %","1,253,291,070.96","-"
"NEPSE","2023-10-17","1851.18","1884.67","1851.03","1864.62","0.71 %","1,008,437,860.61","-"
"NEPSE","2023-10-18","1864.28","1908.4","1864.25","1907.89","2.32 %","934,894,218.15","-"
"NEPSE","2023-10-19","1908.66","1915.98","1893.94","1903.84","-0.21 %","970,612,892.03","-"
"NEPSE","2023-10-29","1903.59","1903.91","1867.09","1875.65","-1.48 %","742,925,392.56","-"
"NEPSE","2023-10-30","1876.47","1878.83","1856.9","1878.7","0.16 %","694,222,217.37","-"
"NEPSE","2023-10-31","1878.29","1878.98","1860.47","1864.4","-0.76 %","571,483,276.48","-"
"NEPSE","2023-11-01","1864.19","1872.19","1853.49","1858.56","-0.31 %","812,089,291.31","-"
"NEPSE","2023-11-02","1858.27","1859.48","1842.73","1847.7","-0.58 %","964,477,711.41","-"
"NEPSE","2023-11-05","1846.75","1846.77","1817.76","1826.23","-1.16 %","972,367,278.92","-"
"NEPSE","2023-11-06","1826.68","1850.58","1824.56","1847.54","1.16 %","938,929,040.59","-"
"NEPSE","2023-11-07","1848.06","1864.85","1847.1","1858.76","0.60 %","996,586,291.90","-"
"NEPSE","2023-11-08","1858.11","1869.01","1851.19","1863.94","0.27 %","782,743,264.94","-"
"NEPSE","2023-11-09","1864.4","1866.93","1847.85","1852.08","-0.63 %","836,005,656.08","-"
"NEPSE","2023-11-20","1852.29","1873.34","1846.52","1853.48","0.07 %","1,099,318,029.70","-"
"NEPSE","2023-11-21","1853.17","1853.87","1821.38","1829.65","-1.28 %","950,479,583.91","-"
"NEPSE","2023-11-22","1830.11","1850.54","1816.4","1850.33","1.13 %","1,087,098,495.59","-"
"NEPSE","2023-11-23","1847.69","1864.59","1826.49","1860.2","0.53 %","1,348,347,430.30","-"
